"Ancistrus cryptophthalmus Reis, 1987"
"Ancistrus formoso Sabino & Trajano, 1997"
"Bagropsis reinhardti Lütken, 1874"
"Conorhynchos conirostris (Valenciennes, 1840)"
"Cynolebias griseus Costa, Lacerda & Brasil, 1990"
"Eigenmannia vicentespelaea Triques, 1996"
"Hypsolebias alternatus (Costa & Brasil, 1994)"
"Hypsolebias auratus (Costa & Nielsen, 2000)"
"Hypsolebias brunoi (Costa, 2003)"
"Hypsolebias fasciatus (Costa & Brasil, 2006)"
"Hypsolebias flammeus (Costa, 1989)"
"Hypsolebias gibberatus (Costa & Brasil, 2006)"
"Hypsolebias marginatus (Costa & Brasil, 1996)"
"Hypsolebias multiradiatus (Costa & Brasil, 1994)"
"Hypsolebias nielseni (Costa, 2005)"
"Hypsolebias notatus (Costa, Lacerda & Brasil, 1990)"
"Hypsolebias rufus (Costa, Nielsen & de Luca, 2001)"
"Hypsolebias similis (Costa & Hellner, 1999)"
"Hypsolebias stellatus (Costa & Brasil, 1994)"
"Hypsolebias trilineatus (Costa & Brasil, 1994)"
"Hypsolebias virgulatus (Costa & Brasil, 2006)"
"Ituglanis bambui Bichuette & Trajano, 2004"
"Ituglanis epikarsticus Bichuette & Trajano, 2004"
"Ituglanis passensis Fernandez & Bichuette, 2002"
"Ituglanis ramiroi Bichuette & Trajano, 2004"
"Kolpotocheirodon theloura Malabarba & Weitzman, 2000"
"Lophiosilurus alexandri Steindachner, 1876"
"Maratecoara formosa Costa & Brasil, 1995"
"Melanorivulus illuminatus (Costa, 2007)"
"Melanorivulus pinima (Costa, 1989)"
"Melanorivulus rutilicaudus (Costa, 2005)"
"Melanorivulus scalaris (Costa, 2005)"
"Melanorivulus vittatus (Costa, 1989)"
"Pamphorichthys pertapeh Figueiredo, 2008"
"Pareiorhaphis mutuca (Oliveira & Oyakawa, 1999)"
"Pituna brevirostrata (Costa, 2007)"
"Plesiolebias xavantei (Costa, Lacerda & Tanizaki, 1988)"
"Rhamdiopsis krugi Bockmann & Castro, 2011"
"Simpsonichthys boitonei Carvalho, 1959"
"Simpsonichthys nigromaculatus Costa, 2007"
"Simpsonichthys parallelus Costa, 2000"
"Simpsonichthys punctulatus Costa & Brasil, 2007"
"Simpsonichthys santanae (Shibata & Garavello, 1992)"
"Simpsonichthys zonatus (Costa & Brasil, 1990)"
"Stygichthys typhlops Brittan & Böhlke, 1965"
"Trichomycterus dali Rizzato, Costa, Trajano & Bichuette, 2011"
"Trichomycterus itacarambiensis Trajano & de Pinna, 1996"
"Trichomycterus novalimensis Barbosa & Costa, 2010"
"Hypsolebias tocantinensis Nielsen, Cruz & Baptista, 2012"
"Maratecoara splendida Costa, 2007"
"Melanorivulus crixas (Costa, 2007)"
"Melanorivulus karaja (Costa, 2007)"
"Melanorivulus kayapo (Costa, 2006)"
"Melanorivulus kunzei Costa, 2012"
"Melanorivulus litteratus (Costa, 2005) "
"Melanorivulus pindorama Costa, 2012"
"Melanorivulus planaltinus (Costa & Brasil, 2008)"
"Melanorivulus rubromarginatus (Costa, 2007)"
"Melanorivulus salmonicaudus (Costa, 2007)"
"Melanorivulus ubirajarai Costa, 2012"
"Plesiolebias canabravensis Costa & Nielsen, 2007"
"Simpsonichthys cholopteryx Costa, Moreira & Lima, 2003"
"Trigonectes strigabundus Myers, 1925"
"Chasmocranus brachynema Gomes & Schubart, 1958"
"Corumbataia britskii Ferreira & Ribeiro, 2007"
"Creagrutus varii Ribeiro, Benine & Figueiredo, 2004"
"Hasemania crenuchoides Zarske & Géry, 1999"
"Hyphessobrycon coelestinus Myers, 1929"
"Lophiobrycon weitzmani Castro, Ribeiro, Benine & Melo, 2003"
"Microlepidogaster perforatus Eigenmann & Eigenmann, 1889"
"Phallotorynus jucundus Ihering, 1930"
"Ancistrus minutus Fisch-Muller, Mazzoni & Weber, 2001"
"Lamontichthys avacanoeiro de Carvalho Paixão & Toledo-Piza, 2009 "
"Ituglanis mambai Bichuette & Trajano, 2008"
"Trichomycterus rubbioli Bichuette & Rizzato, 2012"
"Pimelodella spelaea Trajano, Reis & Bichuette, 2004"
"Loricaria coximensis Rodriguez, Cavallaro & Thomas, 2012 "
